Chroma Features Analysis
=======================

Time-based chroma intensities:
T	C	C#	D	D#	E	F	F#	G	G#	A	A#	B
59.05	0.230	0.392	0.475	0.383	1.000	0.588	0.446	0.346	0.392	0.271	0.303	0.301	E
59.06	0.212	0.386	0.459	0.367	1.000	0.565	0.437	0.333	0.376	0.261	0.288	0.297	E
59.07	0.197	0.368	0.438	0.362	1.000	0.543	0.432	0.327	0.371	0.253	0.273	0.289	E
59.08	0.186	0.347	0.415	0.373	1.000	0.524	0.431	0.323	0.347	0.235	0.261	0.294	E
59.09	0.173	0.335	0.392	0.371	1.000	0.505	0.429	0.326	0.318	0.226	0.248	0.294	E
60.00	0.976	1.000	0.891	0.345	0.393	0.241	0.291	0.387	0.311	0.191	0.281	0.476	C#
60.01	0.865	1.000	0.916	0.341	0.355	0.225	0.258	0.352	0.298	0.165	0.257	0.466	C#
60.02	0.781	1.000	0.915	0.318	0.340	0.237	0.246	0.315	0.283	0.158	0.273	0.429	C#
60.03	0.691	1.000	0.926	0.311	0.291	0.249	0.242	0.288	0.263	0.196	0.249	0.423	C#
60.04	0.612	1.000	0.986	0.313	0.268	0.253	0.252	0.290	0.271	0.192	0.212	0.409	C#
60.05	0.510	0.902	1.000	0.289	0.241	0.213	0.243	0.262	0.237	0.184	0.186	0.401	D
60.06	0.432	0.795	1.000	0.281	0.238	0.203	0.224	0.260	0.219	0.202	0.172	0.375	D
60.07	0.367	0.657	1.000	0.250	0.246	0.182	0.230	0.245	0.213	0.200	0.162	0.314	D
60.09	0.322	0.584	1.000	0.258	0.264	0.170	0.250	0.235	0.198	0.206	0.174	0.315	D
60.10	0.284	0.556	1.000	0.259	0.250	0.159	0.259	0.241	0.219	0.229	0.157	0.287	D
61.00	0.216	0.200	0.116	0.337	0.162	0.102	0.406	0.186	0.115	0.111	0.146	1.000	B
61.01	0.226	0.165	0.119	0.317	0.146	0.101	0.387	0.189	0.103	0.101	0.168	1.000	B
61.02	0.233	0.176	0.121	0.320	0.163	0.107	0.397	0.205	0.115	0.113	0.173	1.000	B
61.03	0.257	0.182	0.121	0.310	0.184	0.120	0.399	0.220	0.127	0.124	0.180	1.000	B
61.05	0.275	0.207	0.124	0.301	0.199	0.154	0.394	0.236	0.142	0.136	0.211	1.000	B
61.06	0.284	0.206	0.132	0.308	0.234	0.188	0.397	0.255	0.172	0.155	0.235	1.000	B
61.07	0.316	0.261	0.144	0.293	0.288	0.218	0.401	0.285	0.194	0.175	0.270	1.000	B
61.08	0.358	0.217	0.173	0.276	0.374	0.266	0.436	0.335	0.214	0.184	0.301	1.000	B
61.09	0.377	0.281	0.172	0.268	0.469	0.310	0.484	0.380	0.238	0.211	0.312	1.000	B
61.10	0.395	0.290	0.177	0.272	0.595	0.361	0.551	0.435	0.276	0.246	0.361	1.000	B
62.01	0.042	0.053	0.076	0.119	1.000	0.099	0.114	0.074	0.100	0.045	0.044	0.113	E
62.02	0.042	0.054	0.083	0.125	1.000	0.101	0.118	0.082	0.110	0.045	0.046	0.120	E
62.03	0.040	0.050	0.086	0.139	1.000	0.105	0.120	0.093	0.116	0.047	0.045	0.122	E
62.04	0.041	0.052	0.091	0.147	1.000	0.107	0.130	0.107	0.124	0.051	0.045	0.120	E
62.05	0.042	0.051	0.093	0.154	1.000	0.110	0.132	0.120	0.124	0.051	0.050	0.119	E
62.06	0.046	0.052	0.091	0.159	1.000	0.109	0.138	0.134	0.117	0.056	0.045	0.106	E
62.07	0.050	0.055	0.095	0.166	1.000	0.109	0.145	0.142	0.109	0.059	0.052	0.099	E
62.08	0.051	0.054	0.094	0.169	1.000	0.107	0.139	0.144	0.104	0.060	0.053	0.080	E
62.09	0.051	0.052	0.095	0.170	1.000	0.105	0.133	0.142	0.098	0.057	0.055	0.072	E
63.01	0.098	0.095	0.126	0.262	1.000	0.423	0.253	0.230	0.226	0.106	0.083	0.180	E
63.02	0.096	0.094	0.115	0.255	1.000	0.426	0.280	0.252	0.241	0.112	0.089	0.202	E
63.03	0.106	0.100	0.115	0.258	1.000	0.439	0.299	0.275	0.239	0.121	0.092	0.183	E
63.04	0.119	0.114	0.124	0.270	1.000	0.488	0.340	0.317	0.255	0.143	0.125	0.158	E
63.05	0.119	0.121	0.142	0.297	1.000	0.515	0.382	0.355	0.279	0.165	0.130	0.168	E
63.06	0.139	0.136	0.168	0.315	1.000	0.524	0.406	0.376	0.291	0.181	0.153	0.199	E
63.07	0.151	0.144	0.175	0.344	1.000	0.554	0.440	0.425	0.325	0.200	0.195	0.236	E
63.08	0.174	0.173	0.196	0.378	1.000	0.554	0.455	0.464	0.330	0.200	0.233	0.277	E
63.09	0.198	0.207	0.217	0.405	1.000	0.571	0.467	0.496	0.360	0.253	0.261	0.290	E
64.00	1.000	0.147	0.088	0.097	0.113	0.074	0.132	0.160	0.066	0.083	0.089	0.130	C
64.01	1.000	0.161	0.094	0.095	0.109	0.072	0.140	0.163	0.076	0.089	0.088	0.148	C
64.02	1.000	0.175	0.105	0.097	0.098	0.071	0.143	0.172	0.088	0.092	0.095	0.167	C
64.03	1.000	0.181	0.119	0.104	0.102	0.073	0.147	0.173	0.106	0.097	0.102	0.170	C
64.04	1.000	0.171	0.121	0.099	0.143	0.069	0.146	0.158	0.106	0.102	0.117	0.172	C
64.05	1.000	0.171	0.129	0.103	0.150	0.064	0.142	0.151	0.109	0.111	0.148	0.198	C
64.06	1.000	0.171	0.114	0.097	0.135	0.062	0.134	0.138	0.105	0.103	0.153	0.210	C
64.07	1.000	0.163	0.113	0.094	0.156	0.060	0.119	0.140	0.106	0.093	0.152	0.200	C
64.09	1.000	0.166	0.111	0.096	0.167	0.053	0.109	0.131	0.096	0.092	0.141	0.197	C
64.10	1.000	0.152	0.107	0.091	0.183	0.048	0.101	0.127	0.092	0.084	0.118	0.183	C
65.00	0.439	0.285	0.234	0.255	0.320	0.197	0.324	0.205	0.261	0.171	0.359	1.000	B
65.01	0.478	0.329	0.254	0.269	0.361	0.217	0.349	0.213	0.287	0.207	0.385	1.000	B
65.02	0.481	0.345	0.271	0.283	0.441	0.240	0.370	0.235	0.315	0.221	0.394	1.000	B
65.03	0.511	0.347	0.299	0.313	0.505	0.267	0.390	0.233	0.331	0.232	0.428	1.000	B
65.05	0.540	0.397	0.342	0.374	0.607	0.307	0.410	0.251	0.371	0.243	0.463	1.000	B
65.06	0.555	0.410	0.397	0.399	0.673	0.338	0.422	0.269	0.394	0.251	0.502	1.000	B
65.07	0.591	0.418	0.431	0.441	0.795	0.377	0.452	0.285	0.408	0.280	0.511	1.000	B
65.08	0.593	0.416	0.447	0.477	0.899	0.396	0.463	0.289	0.412	0.312	0.533	1.000	B
65.09	0.549	0.418	0.461	0.516	0.987	0.419	0.460	0.268	0.399	0.313	0.561	1.000	B
65.10	0.523	0.405	0.422	0.520	1.000	0.410	0.422	0.266	0.367	0.320	0.583	0.881	E
66.01	0.055	0.070	0.076	0.121	1.000	0.128	0.126	0.099	0.087	0.044	0.052	0.089	E
66.02	0.057	0.069	0.078	0.120	1.000	0.118	0.119	0.093	0.084	0.044	0.057	0.089	E
66.03	0.058	0.067	0.080	0.122	1.000	0.108	0.116	0.088	0.081	0.044	0.052	0.088	E
66.04	0.057	0.066	0.079	0.116	1.000	0.102	0.112	0.081	0.077	0.047	0.057	0.081	E
66.05	0.057	0.066	0.076	0.112	1.000	0.097	0.102	0.076	0.070	0.047	0.052	0.073	E
66.06	0.059	0.062	0.071	0.117	1.000	0.102	0.091	0.072	0.065	0.042	0.050	0.073	E
66.07	0.065	0.060	0.068	0.118	1.000	0.106	0.088	0.062	0.064	0.041	0.050	0.084	E
66.08	0.067	0.058	0.067	0.118	1.000	0.107	0.087	0.054	0.061	0.042	0.052	0.090	E
66.09	0.069	0.064	0.065	0.117	1.000	0.108	0.090	0.051	0.059	0.046	0.057	0.087	E
67.01	0.337	0.310	0.402	0.533	1.000	0.502	0.358	0.338	0.224	0.173	0.281	0.279	E
67.02	0.345	0.338	0.386	0.537	1.000	0.527	0.346	0.321	0.228	0.177	0.297	0.292	E
67.03	0.359	0.326	0.387	0.528	1.000	0.537	0.330	0.311	0.242	0.193	0.307	0.357	E
67.04	0.384	0.353	0.405	0.557	1.000	0.587	0.341	0.323	0.272	0.222	0.357	0.429	E
67.05	0.398	0.366	0.397	0.559	1.000	0.591	0.338	0.336	0.282	0.242	0.375	0.505	E
67.06	0.409	0.381	0.411	0.572	1.000	0.624	0.335	0.374	0.323	0.261	0.386	0.547	E
67.07	0.438	0.405	0.469	0.594	1.000	0.660	0.351	0.414	0.349	0.292	0.455	0.640	E
67.08	0.504	0.507	0.560	0.676	1.000	0.712	0.404	0.472	0.403	0.353	0.521	0.720	E
67.09	0.564	0.582	0.636	0.732	1.000	0.735	0.443	0.544	0.458	0.396	0.588	0.715	E
68.00	0.182	0.253	1.000	0.332	0.164	0.108	0.201	0.133	0.125	0.128	0.094	0.100	D
68.01	0.194	0.240	1.000	0.330	0.138	0.091	0.176	0.121	0.119	0.113	0.089	0.102	D
68.02	0.194	0.222	1.000	0.322	0.128	0.091	0.181	0.109	0.106	0.110	0.107	0.102	D
68.03	0.197	0.207	1.000	0.312	0.150	0.085	0.176	0.095	0.102	0.104	0.101	0.090	D
68.04	0.234	0.216	1.000	0.328	0.164	0.084	0.183	0.087	0.097	0.092	0.089	0.107	D
68.05	0.260	0.241	1.000	0.315	0.162	0.084	0.199	0.082	0.101	0.091	0.096	0.104	D
68.06	0.297	0.260	1.000	0.296	0.178	0.088	0.199	0.085	0.102	0.089	0.101	0.100	D
68.07	0.345	0.287	1.000	0.300	0.187	0.086	0.187	0.082	0.104	0.097	0.117	0.109	D
68.09	0.393	0.333	1.000	0.308	0.193	0.094	0.181	0.080	0.106	0.103	0.135	0.120	D
68.10	0.441	0.365	1.000	0.310	0.195	0.091	0.183	0.085	0.110	0.101	0.162	0.133	D
69.00	0.251	0.235	0.169	0.225	0.515	0.212	0.265	0.159	0.195	0.176	0.290	1.000	B
69.01	0.235	0.227	0.142	0.229	0.585	0.198	0.226	0.150	0.188	0.179	0.284	1.000	B
69.02	0.240	0.246	0.138	0.206	0.633	0.190	0.204	0.133	0.177	0.203	0.279	1.000	B
69.03	0.233	0.220	0.130	0.196	0.678	0.176	0.208	0.126	0.175	0.239	0.260	1.000	B
69.05	0.203	0.227	0.134	0.168	0.674	0.183	0.200	0.118	0.153	0.232	0.286	1.000	B
69.06	0.191	0.222	0.129	0.164	0.709	0.154	0.185	0.136	0.150	0.208	0.244	1.000	B
69.07	0.170	0.194	0.125	0.160	0.746	0.146	0.189	0.131	0.142	0.195	0.227	1.000	B
69.08	0.159	0.249	0.119	0.150	0.743	0.146	0.179	0.133	0.147	0.212	0.195	1.000	B
69.09	0.160	0.197	0.122	0.167	0.801	0.145	0.176	0.136	0.155	0.201	0.198	1.000	B
69.10	0.171	0.273	0.119	0.180	0.848	0.139	0.173	0.147	0.166	0.213	0.215	1.000	B
70.01	0.556	0.574	0.689	0.494	0.581	0.602	0.813	1.000	0.518	0.568	0.604	0.596	G
70.02	0.539	0.539	0.667	0.484	0.545	0.576	0.781	1.000	0.489	0.542	0.563	0.577	G
70.03	0.530	0.515	0.661	0.470	0.521	0.562	0.772	1.000	0.469	0.538	0.558	0.553	G
70.04	0.526	0.499	0.660	0.469	0.495	0.545	0.766	1.000	0.449	0.531	0.541	0.547	G
70.05	0.497	0.475	0.649	0.451	0.470	0.516	0.754	1.000	0.421	0.507	0.520	0.506	G
70.06	0.496	0.459	0.645	0.437	0.469	0.510	0.763	1.000	0.419	0.499	0.520	0.495	G
70.07	0.487	0.459	0.655	0.424	0.460	0.494	0.761	1.000	0.419	0.487	0.504	0.480	G
70.08	0.468	0.465	0.657	0.413	0.448	0.484	0.755	1.000	0.425	0.478	0.488	0.477	G
70.09	0.447	0.472	0.657	0.402	0.443	0.475	0.752	1.000	0.439	0.460	0.469	0.450	G
71.01	0.253	0.422	0.482	0.398	0.281	0.260	0.265	1.000	0.290	0.230	0.307	0.312	G
71.02	0.243	0.398	0.480	0.391	0.278	0.257	0.267	1.000	0.284	0.230	0.300	0.304	G
71.03	0.234	0.373	0.481	0.382	0.275	0.251	0.269	1.000	0.275	0.219	0.291	0.307	G
71.04	0.227	0.354	0.476	0.371	0.269	0.242	0.270	1.000	0.263	0.206	0.280	0.290	G
71.05	0.227	0.337	0.472	0.358	0.272	0.236	0.277	1.000	0.255	0.195	0.269	0.284	G
71.06	0.216	0.314	0.465	0.353	0.271	0.231	0.282	1.000	0.249	0.190	0.259	0.271	G
71.07	0.214	0.300	0.470	0.346	0.273	0.227	0.290	1.000	0.246	0.186	0.255	0.269	G
71.08	0.210	0.291	0.472	0.337	0.266	0.231	0.299	1.000	0.247	0.183	0.249	0.263	G
71.09	0.203	0.297	0.474	0.331	0.266	0.233	0.312	1.000	0.248	0.185	0.249	0.260	G
72.00	0.388	0.590	0.325	0.402	1.000	0.352	0.344	0.382	0.354	0.682	0.500	0.365	E
72.01	0.366	0.581	0.293	0.380	1.000	0.324	0.324	0.350	0.331	0.665	0.471	0.363	E
72.02	0.336	0.485	0.265	0.357	1.000	0.301	0.310	0.329	0.303	0.637	0.453	0.337	E
72.03	0.316	0.466	0.241	0.332	1.000	0.275	0.294	0.317	0.282	0.615	0.442	0.329	E
72.04	0.298	0.405	0.223	0.308	1.000	0.260	0.281	0.295	0.265	0.590	0.431	0.321	E
72.05	0.278	0.392	0.204	0.293	1.000	0.250	0.271	0.281	0.262	0.569	0.423	0.317	E
72.06	0.256	0.342	0.197	0.281	1.000	0.234	0.256	0.262	0.266	0.552	0.428	0.274	E
72.07	0.240	0.300	0.184	0.266	1.000	0.237	0.246	0.255	0.276	0.542	0.422	0.284	E
72.09	0.241	0.309	0.172	0.258	1.000	0.238	0.241	0.246	0.291	0.529	0.433	0.262	E
72.10	0.227	0.291	0.169	0.262	1.000	0.230	0.237	0.248	0.306	0.525	0.442	0.243	E
73.00	0.453	0.710	0.745	0.681	0.994	0.536	0.568	0.577	0.464	1.000	0.332	0.375	A
73.01	0.418	0.690	0.697	0.640	1.000	0.519	0.551	0.561	0.440	0.954	0.330	0.360	E
73.02	0.386	0.674	0.633	0.590	1.000	0.491	0.522	0.537	0.407	0.897	0.326	0.341	E
73.03	0.352	0.634	0.590	0.543	1.000	0.469	0.496	0.511	0.378	0.837	0.312	0.318	E
73.05	0.338	0.612	0.531	0.506	1.000	0.444	0.474	0.489	0.360	0.802	0.307	0.284	E
73.06	0.304	0.598	0.497	0.472	1.000	0.426	0.469	0.477	0.346	0.782	0.308	0.284	E
73.07	0.301	0.581	0.483	0.459	1.000	0.422	0.479	0.474	0.330	0.767	0.304	0.292	E
73.08	0.282	0.554	0.463	0.442	1.000	0.415	0.484	0.475	0.318	0.748	0.309	0.282	E
73.09	0.279	0.542	0.440	0.427	1.000	0.394	0.485	0.477	0.300	0.729	0.314	0.276	E
73.10	0.268	0.542	0.432	0.418	1.000	0.391	0.487	0.486	0.287	0.719	0.316	0.282	E
74.01	0.066	0.039	0.060	0.101	1.000	0.282	0.104	0.073	0.032	0.032	0.045	0.126	E
74.02	0.061	0.040	0.064	0.109	1.000	0.286	0.098	0.068	0.032	0.031	0.044	0.117	E
74.03	0.055	0.040	0.067	0.117	1.000	0.295	0.091	0.066	0.032	0.030	0.041	0.110	E
74.04	0.050	0.041	0.071	0.123	1.000	0.308	0.086	0.062	0.031	0.031	0.043	0.104	E
74.05	0.049	0.042	0.076	0.130	1.000	0.326	0.081	0.057	0.031	0.032	0.043	0.099	E
74.06	0.049	0.041	0.080	0.137	1.000	0.349	0.078	0.053	0.031	0.033	0.044	0.098	E
74.07	0.051	0.042	0.086	0.145	1.000	0.376	0.077	0.051	0.031	0.034	0.047	0.100	E
74.08	0.053	0.044	0.092	0.155	1.000	0.403	0.077	0.047	0.029	0.036	0.048	0.104	E
74.09	0.055	0.045	0.100	0.171	1.000	0.435	0.079	0.045	0.031	0.038	0.050	0.108	E
75.01	0.163	0.154	0.211	0.209	1.000	0.661	0.263	0.171	0.135	0.132	0.137	0.396	E
75.02	0.165	0.175	0.242	0.239	1.000	0.687	0.286	0.187	0.146	0.147	0.151	0.365	E
75.03	0.162	0.201	0.287	0.277	1.000	0.723	0.313	0.207	0.159	0.161	0.172	0.324	E
75.04	0.161	0.239	0.345	0.321	1.000	0.764	0.344	0.231	0.177	0.179	0.192	0.282	E
75.05	0.168	0.284	0.411	0.367	1.000	0.800	0.378	0.259	0.197	0.199	0.208	0.243	E
75.06	0.182	0.332	0.495	0.407	1.000	0.836	0.412	0.287	0.217	0.214	0.223	0.217	E
75.07	0.199	0.388	0.595	0.447	1.000	0.872	0.445	0.317	0.240	0.231	0.234	0.208	E
75.08	0.221	0.456	0.692	0.488	1.000	0.888	0.477	0.345	0.265	0.243	0.231	0.214	E
75.09	0.247	0.541	0.803	0.538	1.000	0.897	0.506	0.371	0.290	0.255	0.216	0.244	E
76.00	1.000	0.035	0.019	0.010	0.057	0.014	0.015	0.025	0.011	0.010	0.026	0.028	C
76.01	1.000	0.034	0.019	0.010	0.056	0.014	0.014	0.024	0.011	0.009	0.026	0.029	C
76.02	1.000	0.034	0.019	0.011	0.055	0.014	0.013	0.024	0.011	0.009	0.026	0.030	C
76.03	1.000	0.034	0.019	0.011	0.054	0.013	0.012	0.023	0.011	0.009	0.026	0.031	C
76.04	1.000	0.034	0.018	0.012	0.053	0.013	0.012	0.022	0.011	0.009	0.026	0.032	C
76.05	1.000	0.034	0.017	0.013	0.051	0.013	0.011	0.022	0.011	0.009	0.026	0.033	C
76.06	1.000	0.035	0.017	0.014	0.049	0.013	0.011	0.022	0.011	0.009	0.026	0.033	C
76.07	1.000	0.035	0.016	0.014	0.046	0.013	0.011	0.022	0.010	0.009	0.025	0.033	C
76.09	1.000	0.034	0.016	0.014	0.044	0.013	0.011	0.023	0.010	0.010	0.025	0.032	C
76.10	1.000	0.034	0.016	0.014	0.042	0.012	0.011	0.023	0.009	0.010	0.023	0.032	C
77.00	0.217	0.089	0.067	0.060	0.045	0.043	0.110	0.052	0.057	0.085	0.186	1.000	B
77.01	0.232	0.096	0.072	0.064	0.048	0.046	0.109	0.055	0.061	0.090	0.200	1.000	B
77.02	0.249	0.103	0.078	0.068	0.051	0.049	0.109	0.058	0.065	0.095	0.215	1.000	B
77.03	0.266	0.110	0.084	0.071	0.055	0.052	0.107	0.063	0.069	0.101	0.230	1.000	B
77.05	0.283	0.118	0.090	0.075	0.059	0.056	0.104	0.067	0.074	0.107	0.246	1.000	B
77.06	0.301	0.125	0.096	0.079	0.063	0.060	0.101	0.071	0.079	0.113	0.263	1.000	B
77.07	0.318	0.133	0.102	0.082	0.067	0.063	0.098	0.075	0.084	0.120	0.281	1.000	B
77.08	0.335	0.140	0.107	0.086	0.072	0.066	0.095	0.079	0.089	0.127	0.299	1.000	B
77.09	0.351	0.147	0.113	0.091	0.076	0.069	0.092	0.083	0.094	0.134	0.317	1.000	B
77.10	0.367	0.154	0.118	0.095	0.081	0.073	0.090	0.086	0.100	0.141	0.334	1.000	B
78.01	0.025	0.010	0.013	0.028	1.000	0.127	0.010	0.009	0.009	0.005	0.005	0.077	E
78.02	0.026	0.011	0.014	0.030	1.000	0.128	0.010	0.009	0.009	0.005	0.005	0.076	E
78.03	0.027	0.012	0.015	0.032	1.000	0.130	0.012	0.009	0.008	0.005	0.005	0.076	E
78.04	0.027	0.014	0.016	0.034	1.000	0.133	0.015	0.009	0.008	0.005	0.005	0.075	E
78.05	0.028	0.016	0.017	0.036	1.000	0.137	0.018	0.010	0.009	0.005	0.006	0.074	E
78.06	0.029	0.018	0.018	0.038	1.000	0.143	0.022	0.010	0.010	0.005	0.006	0.073	E
78.07	0.030	0.020	0.019	0.041	1.000	0.151	0.026	0.011	0.010	0.005	0.007	0.072	E
78.08	0.032	0.022	0.020	0.042	1.000	0.162	0.032	0.012	0.011	0.005	0.007	0.071	E
78.09	0.033	0.024	0.021	0.044	1.000	0.175	0.037	0.014	0.011	0.006	0.006	0.071	E
79.01	0.173	0.192	0.397	0.595	1.000	0.662	0.216	0.146	0.105	0.081	0.100	0.332	E
79.02	0.179	0.205	0.421	0.634	1.000	0.694	0.239	0.157	0.113	0.088	0.110	0.329	E
79.03	0.191	0.220	0.450	0.681	1.000	0.732	0.264	0.170	0.121	0.097	0.121	0.321	E
79.04	0.202	0.238	0.485	0.734	1.000	0.772	0.289	0.185	0.132	0.105	0.135	0.307	E
79.05	0.213	0.261	0.525	0.794	1.000	0.816	0.313	0.202	0.144	0.116	0.149	0.288	E
79.06	0.225	0.291	0.569	0.861	1.000	0.861	0.337	0.220	0.154	0.127	0.161	0.271	E
79.07	0.231	0.323	0.615	0.926	1.000	0.900	0.356	0.237	0.161	0.140	0.171	0.258	E
79.08	0.240	0.360	0.666	0.990	1.000	0.938	0.374	0.253	0.165	0.154	0.179	0.248	E
79.09	0.236	0.381	0.689	1.000	0.952	0.922	0.371	0.253	0.161	0.159	0.175	0.234	D#
80.00	1.000	0.047	0.016	0.016	0.046	0.013	0.012	0.031	0.009	0.014	0.014	0.025	C
80.01	1.000	0.047	0.017	0.014	0.043	0.013	0.012	0.031	0.009	0.014	0.014	0.025	C
80.02	1.000	0.047	0.018	0.014	0.041	0.014	0.011	0.031	0.010	0.015	0.014	0.024	C
80.03	1.000	0.047	0.019	0.013	0.039	0.014	0.011	0.031	0.010	0.015	0.014	0.024	C
80.04	1.000	0.048	0.020	0.012	0.038	0.014	0.010	0.030	0.010	0.015	0.014	0.024	C
80.05	1.000	0.048	0.020	0.012	0.037	0.014	0.010	0.030	0.011	0.015	0.014	0.025	C
80.06	1.000	0.049	0.020	0.012	0.037	0.014	0.010	0.030	0.011	0.016	0.014	0.026	C
80.07	1.000	0.049	0.021	0.012	0.035	0.014	0.010	0.029	0.012	0.016	0.015	0.025	C
80.09	1.000	0.047	0.022	0.012	0.034	0.014	0.010	0.029	0.012	0.016	0.015	0.025	C
80.10	1.000	0.046	0.022	0.013	0.033	0.014	0.010	0.028	0.013	0.016	0.016	0.025	C
81.00	0.108	0.034	0.020	0.044	0.017	0.020	0.074	0.023	0.027	0.043	0.086	1.000	B
81.01	0.116	0.036	0.021	0.042	0.018	0.020	0.075	0.024	0.028	0.047	0.093	1.000	B
81.02	0.126	0.039	0.023	0.042	0.019	0.021	0.077	0.025	0.029	0.051	0.100	1.000	B
81.03	0.136	0.041	0.024	0.042	0.020	0.021	0.078	0.026	0.031	0.055	0.108	1.000	B
81.05	0.146	0.045	0.026	0.043	0.021	0.021	0.080	0.027	0.032	0.060	0.117	1.000	B
81.06	0.157	0.048	0.028	0.045	0.022	0.021	0.082	0.028	0.034	0.064	0.126	1.000	B
81.07	0.170	0.052	0.031	0.048	0.023	0.022	0.083	0.029	0.036	0.068	0.136	1.000	B
81.08	0.183	0.056	0.033	0.050	0.025	0.022	0.084	0.030	0.039	0.073	0.147	1.000	B
81.09	0.196	0.060	0.037	0.052	0.027	0.023	0.085	0.032	0.042	0.077	0.160	1.000	B
81.10	0.209	0.065	0.040	0.053	0.029	0.025	0.085	0.034	0.045	0.083	0.173	1.000	B
82.01	0.284	0.419	0.395	0.462	1.000	0.432	0.307	0.403	0.281	0.220	0.203	0.263	E
82.02	0.317	0.462	0.434	0.501	1.000	0.473	0.331	0.451	0.314	0.240	0.230	0.279	E
82.03	0.348	0.500	0.468	0.534	1.000	0.509	0.351	0.495	0.343	0.257	0.256	0.296	E
82.04	0.382	0.538	0.501	0.566	1.000	0.545	0.371	0.540	0.374	0.274	0.283	0.315	E
82.05	0.419	0.577	0.536	0.604	1.000	0.584	0.392	0.589	0.406	0.292	0.311	0.338	E
82.06	0.460	0.617	0.572	0.647	1.000	0.624	0.415	0.640	0.439	0.310	0.342	0.368	E
82.07	0.505	0.661	0.611	0.693	1.000	0.667	0.442	0.695	0.473	0.329	0.373	0.408	E
82.08	0.554	0.709	0.653	0.741	1.000	0.711	0.471	0.754	0.506	0.350	0.405	0.455	E
82.09	0.608	0.760	0.696	0.792	1.000	0.756	0.502	0.818	0.539	0.373	0.440	0.505	E
83.01	0.214	0.334	0.406	0.351	1.000	0.646	0.411	0.389	0.256	0.265	0.316	0.389	E
83.02	0.215	0.351	0.416	0.349	1.000	0.659	0.417	0.411	0.270	0.278	0.331	0.402	E
83.03	0.222	0.368	0.433	0.354	1.000	0.672	0.424	0.436	0.282	0.292	0.347	0.417	E
83.04	0.233	0.386	0.453	0.363	1.000	0.686	0.431	0.463	0.296	0.307	0.364	0.432	E
83.05	0.247	0.408	0.474	0.375	1.000	0.706	0.439	0.492	0.310	0.323	0.380	0.447	E
83.06	0.266	0.433	0.499	0.391	1.000	0.727	0.449	0.526	0.326	0.341	0.399	0.463	E
83.07	0.289	0.460	0.528	0.412	1.000	0.751	0.462	0.563	0.342	0.361	0.420	0.482	E
83.08	0.316	0.492	0.561	0.438	1.000	0.780	0.480	0.605	0.363	0.385	0.444	0.504	E
83.09	0.346	0.527	0.600	0.469	1.000	0.817	0.501	0.653	0.386	0.412	0.472	0.531	E
84.00	1.000	0.275	0.313	0.381	0.354	0.281	0.318	0.371	0.195	0.148	0.229	0.248	C
84.01	1.000	0.289	0.326	0.408	0.375	0.298	0.322	0.395	0.210	0.154	0.240	0.263	C
84.02	1.000	0.304	0.338	0.434	0.395	0.315	0.327	0.417	0.225	0.161	0.251	0.279	C
84.03	1.000	0.318	0.350	0.461	0.415	0.333	0.333	0.438	0.239	0.167	0.262	0.295	C
84.04	1.000	0.330	0.361	0.488	0.434	0.350	0.339	0.458	0.253	0.172	0.272	0.312	C
84.05	1.000	0.342	0.371	0.515	0.451	0.368	0.344	0.477	0.266	0.176	0.281	0.330	C
84.06	1.000	0.354	0.379	0.542	0.468	0.385	0.351	0.495	0.279	0.180	0.289	0.350	C
84.07	1.000	0.369	0.387	0.567	0.484	0.401	0.358	0.512	0.290	0.184	0.297	0.372	C
84.09	1.000	0.385	0.394	0.591	0.498	0.416	0.367	0.528	0.302	0.187	0.304	0.394	C
84.10	1.000	0.401	0.400	0.613	0.513	0.430	0.378	0.544	0.312	0.192	0.312	0.417	C
85.00	0.569	0.517	0.341	0.367	0.321	0.348	0.332	0.375	0.332	0.233	0.288	1.000	B
85.01	0.613	0.549	0.364	0.384	0.336	0.370	0.342	0.406	0.353	0.245	0.298	1.000	B
85.02	0.660	0.581	0.388	0.402	0.352	0.394	0.354	0.439	0.375	0.258	0.308	1.000	B
85.03	0.710	0.614	0.412	0.421	0.370	0.420	0.368	0.474	0.398	0.271	0.317	1.000	B
85.05	0.762	0.648	0.436	0.440	0.390	0.446	0.384	0.510	0.421	0.286	0.327	1.000	B
85.06	0.817	0.681	0.460	0.458	0.411	0.474	0.406	0.549	0.444	0.300	0.337	1.000	B
85.07	0.875	0.715	0.483	0.476	0.433	0.503	0.432	0.591	0.467	0.314	0.347	1.000	B
85.08	0.934	0.750	0.506	0.495	0.457	0.533	0.461	0.636	0.491	0.328	0.357	1.000	B
85.09	0.996	0.786	0.527	0.517	0.483	0.565	0.493	0.684	0.516	0.342	0.370	1.000	B
85.10	1.000	0.778	0.518	0.510	0.481	0.565	0.500	0.694	0.512	0.336	0.363	0.944	C
86.01	0.311	0.325	0.349	0.393	1.000	0.269	0.284	0.216	0.113	0.107	0.229	0.284	E
86.02	0.322	0.329	0.355	0.398	1.000	0.276	0.290	0.222	0.115	0.110	0.237	0.290	E
86.03	0.331	0.334	0.361	0.403	1.000	0.281	0.296	0.227	0.115	0.114	0.246	0.295	E
86.04	0.340	0.340	0.366	0.408	1.000	0.285	0.302	0.232	0.115	0.118	0.254	0.302	E
86.05	0.347	0.347	0.372	0.412	1.000	0.288	0.309	0.235	0.114	0.121	0.262	0.312	E
