Chroma Features Analysis
=======================

Time-based chroma intensities:
T	C	C#	D	D#	E	F	F#	G	G#	A	A#	B
6.01	1.000	0.196	0.040	0.035	0.046	0.033	0.033	0.033	0.037	0.062	0.089	0.333	C
6.02	1.000	0.216	0.045	0.040	0.051	0.038	0.037	0.034	0.041	0.067	0.104	0.381	C
6.03	1.000	0.239	0.052	0.045	0.055	0.044	0.041	0.034	0.046	0.073	0.122	0.438	C
6.04	1.000	0.266	0.063	0.052	0.060	0.051	0.046	0.035	0.052	0.078	0.142	0.502	C
6.05	1.000	0.293	0.076	0.062	0.067	0.059	0.052	0.037	0.060	0.084	0.163	0.576	C
6.06	1.000	0.321	0.090	0.073	0.075	0.068	0.059	0.039	0.068	0.090	0.185	0.659	C
6.07	1.000	0.348	0.104	0.087	0.084	0.078	0.067	0.043	0.078	0.096	0.206	0.752	C
6.08	1.000	0.376	0.118	0.101	0.094	0.088	0.075	0.048	0.088	0.103	0.226	0.852	C
6.09	1.000	0.402	0.131	0.115	0.104	0.099	0.084	0.053	0.097	0.109	0.242	0.953	C
7.01	0.198	0.264	0.336	0.578	1.000	0.636	0.234	0.121	0.109	0.101	0.120	0.136	E
7.02	0.183	0.243	0.314	0.549	1.000	0.643	0.243	0.120	0.102	0.097	0.116	0.127	E
7.03	0.168	0.222	0.292	0.520	1.000	0.648	0.250	0.121	0.097	0.097	0.118	0.122	E
7.04	0.153	0.203	0.269	0.489	1.000	0.651	0.254	0.121	0.091	0.095	0.124	0.122	E
7.05	0.140	0.184	0.247	0.455	1.000	0.652	0.254	0.120	0.084	0.093	0.128	0.127	E
7.06	0.134	0.165	0.227	0.419	1.000	0.647	0.250	0.118	0.076	0.089	0.130	0.138	E
7.07	0.132	0.149	0.209	0.383	1.000	0.633	0.242	0.113	0.069	0.084	0.128	0.151	E
7.08	0.132	0.136	0.193	0.350	1.000	0.608	0.230	0.106	0.063	0.078	0.123	0.165	E
7.09	0.131	0.124	0.178	0.318	1.000	0.581	0.215	0.099	0.056	0.071	0.114	0.174	E
8.00	0.049	0.049	0.107	0.276	1.000	0.345	0.085	0.053	0.051	0.038	0.050	0.117	E
