Chroma Features Analysis
=======================

Time-based chroma intensities:
0.00		C
0.01		C
0.02		C
0.03		C
0.04		B
0.05		B
0.06		B
0.07		B
0.09		B
0.10		B
1.00		A#
1.01		A#
1.02		A
1.03		A#
1.05		A#
1.06		A#
1.07		A#
1.08		A#
1.09		A#
1.10		A
2.01		A
2.02		B
2.03		B
2.04		B
2.05		A
2.06		A
2.07		B
2.08		B
2.09		A
3.01		E
3.02		E
3.03		E
3.04		E
3.05		E
3.06		E
3.07		E
3.08		E
3.09		E
4.00		E
4.01		E
4.02		E
4.03		E
4.04		E
4.05		E
4.06		E
4.07		E
4.09		E
4.10		E
5.00		D
5.01		D
5.02		D
5.03		D
5.05		D
5.06		D
5.07		D
5.08		C
5.09		C
5.10		C
6.01		C
6.02		C
6.03		C
6.04		C
6.05		C
6.06		C
6.07		C
6.08		C
6.09		C
7.01		E
7.02		E
7.03		E
7.04		E
7.05		E
7.06		E
7.07		E
7.08		E
7.09		E
8.00		E
8.01		E
8.02		E
8.03		E
8.04		E
8.05		E
8.06		E
8.07		E
8.09		E
8.10		E
9.00		D
9.01		D
9.02		D
9.03		D
9.05		D
9.06		D
9.07		D
9.08		C
9.09		C
9.10		C
10.01		C
10.02		C
10.03		C
10.04		C
10.05		C
10.06		C
10.07		C
10.08		C
10.09		C
11.01		C#
11.02		C#
11.03		C#
11.04		C#
11.05		C#
11.06		C#
11.07		C#
11.08		C#
11.09		C#
12.00		E
12.01		E
12.02		E
12.03		E
12.04		E
12.05		E
12.06		E
12.07		E
12.09		E
12.10		E
13.00		D
13.01		D
13.02		C
13.03		C
13.05		C
13.06		C
13.07		C
13.08		C
13.09		C
13.10		C
14.01		C
14.02		C
14.03		C
14.04		C
14.05		C
14.06		C
14.07		C
14.08		C
14.09		C
15.01		F
15.02		F
15.03		B
15.04		B
15.05		B
15.06		B
15.07		B
15.08		B
15.09		E
16.00		E
16.01		E
16.02		E
16.03		C
16.04		C
16.05		C
16.06		C
16.07		C
16.09		C
16.10		C
17.00		C
17.01		C
17.02		C
17.03		C
17.05		C
17.06		C
17.07		C
17.08		C
17.09		C
17.10		C
18.01		C
18.02		C
18.03		C
18.04		C
18.05		C
18.06		C
18.07		C
18.08		C
18.09		C
19.01		E
19.02		E
19.03		E
19.04		E
19.05		E
19.06		E
19.07		E
19.08		E
19.09		E
20.00		G
20.01		G
20.02		G
20.03		G
20.04		G
20.05		G
20.06		G
20.07		G
20.09		G
20.10		G
21.00		C
21.01		C
21.02		C
21.03		C
21.05		C
21.06		C
21.07		C
21.08		C
21.09		C
21.10		C
22.01		B
22.02		B
22.03		B
22.04		B
22.05		B
22.06		B
22.07		B
22.08		B
22.09		B
23.01		E
23.02		E
23.03		E
23.04		E
23.05		E
23.06		E
23.07		E
23.08		E
23.09		E
24.00		G
24.01		G
24.02		G
24.03		E
24.04		E
24.05		E
24.06		E
24.07		E
24.09		E
24.10		E
25.00		C
25.01		C
25.02		C
25.03		C
25.05		C
25.06		C
25.07		C
25.08		C
25.09		C
25.10		C
26.01		B
26.02		B
26.03		B
26.04		B
26.05		B
26.06		B
26.07		B
26.08		B
26.09		C
27.01		E
27.02		E
27.03		E
27.04		E
27.05		E
27.06		E
27.07		E
27.08		E
27.09		E
28.00		D#
28.01		C
28.02		C
28.03		C
28.04		C
28.05		C
28.06		C
28.07		C
28.09		C
28.10		C
29.00		C
29.01		C
29.02		C
29.03		C
29.05		C
29.06		C
29.07		C
29.08		C
29.09		C
29.10		C
30.01		B
30.02		B
30.03		B
30.04		B
30.05		B
30.06		B
30.07		B
30.08		B
30.09		B
31.01		E
31.02		E
31.03		E
31.04		E
31.05		E
31.06		E
31.07		E
31.08		E
31.09		E
32.00		B
32.01		B
32.02		B
32.03		B
32.04		B
32.05		B
32.06		B
32.07		D
32.09		D
32.10		D
33.00		C
33.01		C
33.02		C
33.03		C
33.05		C
33.06		C
33.07		C
33.08		C
33.09		C
33.10		C
34.01		B
34.02		B
34.03		B
34.04		B
34.05		B
34.06		B
34.07		G
34.08		D
34.09		D
35.01		E
35.02		E
